"","Recipe","Temp","OL","Time","Ammonia","pH","sCOD","TS","VS","Coliforms","Ecoli","Enterococci","Methane","RFW","DCS","FOG"
"136","FWS13",37,2,6,1405,7.41,8347.49,5.18,3.58,4.08639542712425,4.04143216468027,6.11384345308715,100.3,"0.75","0.25","0"
"137","FWS13",55,0.5,6,1635,7.73,9551.8,5.57,3.27,0,0,0,4.6,"0.75","0.25","0"
"138","FWS13",55,3.5,0,1962.25,7.97,17836.69629,6.599201626,4.443936967,6.51666065341825,6.25688989062053,5.39312663941495,0,"0.75","0.25","0"
"139","FWS31",55,3.5,6,1690,7.16,8681.08,6.34,4.17,2.00432137378264,0,2.00432137378264,14.4,"0.25","0.75","0"
"140","FWS31",55,2,3,1935,7.14,13999.4,5.89,3.6,0,0,3.27669152884504,13.1,"0.25","0.75","0"
"141","FWS31",55,2,9,1715,7.46,12335.91,5.66,3.43,0,0,2.71683772329952,21.2,"0.25","0.75","0"
"142","FWS31",55,0.5,6,1695,7.45,11019.72,5.57,3.29,0,0,0,4.9,"0.25","0.75","0"
"143","FWS31",37,2,6,1485,7.38,8429.45,5.56,3.47,5.22005837679052,5.22005837679052,6.22788696159258,104.3,"0.25","0.75","0"
"144","FWS31",37,2,6,1405,7.35,7867,5.53,3.42,5.18321573149112,5.18035816344805,5.41830294892911,94.5,"0.25","0.75","0"
"145","FWS31",37,3.5,3,1455,7,10888.42,5.91,3.82,6.86153447059693,6.71365860017867,5.38374537073358,63.8,"0.25","0.75","0"
"146","FWS31",37,3.5,9,1675,7.46,7704.04,5.42,3.5,5.11384646042253,5.0491831226042,6.95904144004576,177.3,"0.25","0.75","0"
"147","FWS31",37,0.5,9,1800,7.44,7963.99,5.16,3.17,3.30124708863621,3.30124708863621,5.88654768733631,78.3,"0.25","0.75","0"
"148","FWS31",37,2,6,1530,7.47,8163.03,5.63,3.42,5.19120221599978,4.88655276281017,5.34435493454537,105.3,"0.25","0.75","0"
"149","FWS31",37,2,6,1610,7.42,8177.83,5.62,3.43,5.23294785276869,5.23294785276869,5.1172083018114,89.2,"0.25","0.75","0"
"150","FWS31",55,2,9,1525,7.44,12335.91,5.72,3.44,0,0,2.49276038902684,19.5,"0.25","0.75","0"
"151","FWS31",19,2,9,1730,7.06,11367,5.63,3.47,6.16725853852215,5.75066341725284,7.32180550455794,32.4,"0.25","0.75","0"
"152","FWS31",37,0.5,3,1770,7.4,9048.76,5.42,3.37,5.97913664688227,5.97913664688227,5.38374537073358,31.3,"0.25","0.75","0"
"153","FWS31",55,0.5,6,1705,7.45,11744.99,5.68,3.35,0,0,0,6.2,"0.25","0.75","0"
"154","FWS31",19,2,3,2005,6.98,12832.78,5.89,3.69,4.99140773232573,4.86154038460725,6.38374375532547,9.9,"0.25","0.75","0"
"155","FWS31",55,2,3,1860,7.16,14313.49,5.87,3.61,2.49276038902684,2.49276038902684,3.5328817194074,1.7,"0.25","0.75","0"
"156","FWS31",37,2,6,1375,7.45,8133.42,5.62,3.5,5.23294785276869,5.23294785276869,5.49136309478195,98.1,"0.25","0.75","0"
"157","FWS31",37,0.5,9,1430,7.46,7798.56,5.04,3.19,0,0,3.79940947961513,85.6,"0.25","0.75","0"
"158","FWS31",55,0.5,6,1655,7.49,10901.3,5.48,3.77,0,0,2.00432137378264,5.8,"0.25","0.75","0"
"159","FWS31",37,2,6,1495,7.47,7955.81,5.62,3.44,5.20677462086359,5.20677462086359,6.61341905080526,99.4,"0.25","0.75","0"
"160","FWS31",19,0.5,6,1425,7.42,10486.86,5.18,3.44,5.86153500823756,4.4456197691051,5.58804861832334,16.6,"0.25","0.75","0"
